,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
4797,269,2019-02-28 14:58:25.704,2019-02-28 15:02:55.662,99.0,Folsom St at 15th St,37.7670373,-122.4154425,223.0,16th St Mission BART Station 2,37.7647652154977,-122.42009103298186,2618,Subscriber,1948,Male,No,2019,2,28,14,afternoon,Wednesday,71,4,0
4817,195,2019-02-28 14:56:25.652,2019-02-28 14:59:41.511,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,64.0,5th St at Brannan St,37.7767539,-122.3990176,6137,Subscriber,1950,Male,No,2019,2,28,14,afternoon,Wednesday,69,3,0
4818,545,2019-02-28 14:50:15.746,2019-02-28 14:59:21.237,121.0,Mission Playground,37.7592103,-122.4213392,109.0,17th St at Valencia St,37.7633158,-122.4219039,6224,Subscriber,1945,Male,Yes,2019,2,28,14,afternoon,Wednesday,74,9,0
4870,388,2019-02-28 14:45:16.085,2019-02-28 14:51:44.104,206.0,College Ave at Bryant Ave,37.8381269,-122.2512714,166.0,College Ave at Alcatraz Ave,37.8513755,-122.2525233,4494,Subscriber,1957,Female,No,2019,2,28,14,afternoon,Wednesday,62,6,0
4877,884,2019-02-28 14:36:01.266,2019-02-28 14:50:45.713,23.0,The Embarcadero at Steuart St,37.791464,-122.391034,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,5392,Subscriber,1959,Male,No,2019,2,28,14,afternoon,Wednesday,60,14,0
4917,1484,2019-02-28 14:18:17.188,2019-02-28 14:43:01.774,24.0,Spear St at Folsom St,37.7896767,-122.3904285,371.0,Lombard St at Columbus Ave,37.80274615250053,-122.41357862949371,6284,Customer,1951,Male,No,2019,2,28,14,afternoon,Wednesday,68,24,0
4951,475,2019-02-28 14:28:45.957,2019-02-28 14:36:41.380,79.0,7th St at Brannan St,37.7734919,-122.4036725,42.0,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823,5296,Subscriber,1950,Male,No,2019,2,28,14,afternoon,Wednesday,69,7,0
4987,2789,2019-02-28 13:44:51.954,2019-02-28 14:31:21.081,25.0,Howard St at 2nd St,37.787521780456245,-122.39740490913393,23.0,The Embarcadero at Steuart St,37.791464,-122.391034,6148,Subscriber,1959,Male,No,2019,2,28,13,afternoon,Wednesday,60,46,0
4999,260,2019-02-28 14:24:54.858,2019-02-28 14:29:15.489,167.0,College Ave at Harwood Ave,37.848152,-122.2521599,206.0,College Ave at Bryant Ave,37.8381269,-122.2512714,4516,Subscriber,1957,Female,No,2019,2,28,14,afternoon,Wednesday,62,4,0
5032,780,2019-02-28 14:09:29.640,2019-02-28 14:22:29.900,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,6216,Subscriber,1955,Male,No,2019,2,28,14,afternoon,Wednesday,64,13,0
