,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
32842,3016,2019-02-24 12:44:08.663,2019-02-24 13:34:25.229,245.0,Downtown Berkeley BART,37.870139,-122.268422,187.0,Jack London Square,37.796248,-122.279352,4662,Subscriber,1959,Female,No,2019,2,24,12,afternoon,Saturday,60,50,0
32843,3041,2019-02-24 12:43:28.461,2019-02-24 13:34:10.061,245.0,Downtown Berkeley BART,37.870139,-122.268422,187.0,Jack London Square,37.796248,-122.279352,4791,Subscriber,1955,Male,No,2019,2,24,12,afternoon,Saturday,64,50,0
32851,319,2019-02-24 13:28:18.020,2019-02-24 13:33:37.261,170.0,Telegraph Ave at 58th St,37.8444927,-122.261351,171.0,Rockridge BART Station,37.84427875399067,-122.251900434494,5919,Subscriber,1956,Female,No,2019,2,24,13,afternoon,Saturday,63,5,0
32853,879,2019-02-24 13:18:48.110,2019-02-24 13:33:28.054,121.0,Mission Playground,37.7592103,-122.4213392,137.0,Jersey St at Castro St,37.750506,-122.4339496,2187,Subscriber,1954,Male,No,2019,2,24,13,afternoon,Saturday,65,14,0
32862,1418,2019-02-24 13:07:47.517,2019-02-24 13:31:26.458,24.0,Spear St at Folsom St,37.7896767,-122.3904285,129.0,Harrison St at 20th St,37.758862,-122.412544,3642,Subscriber,1958,Male,No,2019,2,24,13,afternoon,Saturday,61,23,0
32880,353,2019-02-24 13:22:24.102,2019-02-24 13:28:17.108,268.0,Ellsworth St at Russell St,37.85749021457153,-122.26157784461977,239.0,Bancroft Way at Telegraph Ave,37.8688126,-122.258764,4500,Subscriber,1958,Male,No,2019,2,24,13,afternoon,Saturday,61,5,0
32886,1085,2019-02-24 13:08:55.302,2019-02-24 13:27:00.672,310.0,San Fernando St at 4th St,37.335885,-121.88566,289.0,5th St at Taylor St,37.3510173,-121.8959209,3851,Subscriber,1957,Male,Yes,2019,2,24,13,afternoon,Saturday,62,18,0
32911,976,2019-02-24 13:08:17.015,2019-02-24 13:24:33.755,115.0,Jackson Playground,37.7650259,-122.3987734,118.0,Eureka Valley Recreation Center,37.7591769,-122.4369431,6537,Subscriber,1957,Male,No,2019,2,24,13,afternoon,Saturday,62,16,0
32916,765,2019-02-24 13:10:57.931,2019-02-24 13:23:43.913,170.0,Telegraph Ave at 58th St,37.8444927,-122.261351,240.0,Haste St at Telegraph Ave,37.8660431,-122.2588044,4492,Subscriber,1946,Male,Yes,2019,2,24,13,afternoon,Saturday,73,12,0
32942,169,2019-02-24 13:17:05.233,2019-02-24 13:19:54.375,173.0,Shattuck Ave at 55th St,37.8403643,-122.2644881,174.0,Shattuck Ave at 51st St,37.8368013,-122.2640037,5176,Subscriber,1900,Male,Yes,2019,2,24,13,afternoon,Saturday,119,2,0
32981,560,2019-02-24 13:06:13.319,2019-02-24 13:15:33.578,73.0,Pierce St at Haight St,37.7717933,-122.4337079,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,6570,Subscriber,1959,Male,No,2019,2,24,13,afternoon,Saturday,60,9,0
33033,1343,2019-02-24 12:45:48.851,2019-02-24 13:08:12.430,355.0,23rd St at Tennessee St,37.755367132158526,-122.38879501819608,355.0,23rd St at Tennessee St,37.755367132158526,-122.38879501819608,2887,Subscriber,1947,Female,No,2019,2,24,12,afternoon,Saturday,72,22,0
33139,645,2019-02-24 12:41:28.174,2019-02-24 12:52:13.435,167.0,College Ave at Harwood Ave,37.848152,-122.2521599,178.0,Broadway at 30th St,37.8193814,-122.2619284,6424,Subscriber,1947,Male,No,2019,2,24,12,afternoon,Saturday,72,10,0
33170,1010,2019-02-24 12:28:58.739,2019-02-24 12:45:49.367,78.0,Folsom St at 9th St,37.7737172,-122.4116467,134.0,Valencia St at 24th St,37.7524278,-122.4206278,5034,Customer,1958,Female,No,2019,2,24,12,afternoon,Saturday,61,16,0
33230,306,2019-02-24 12:27:39.673,2019-02-24 12:32:46.345,22.0,Howard St at Beale St,37.789756,-122.394643,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,2502,Subscriber,1943,Male,No,2019,2,24,12,afternoon,Saturday,76,5,0
33452,1996,2019-02-24 11:16:54.709,2019-02-24 11:50:11.002,124.0,19th St at Florida St,37.7604469,-122.410807,20.0,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,4569,Subscriber,1959,Male,No,2019,2,24,11,morning,Saturday,60,33,0
33483,929,2019-02-24 11:30:10.252,2019-02-24 11:45:40.026,197.0,El Embarcadero at Grand Ave,37.8088479,-122.2496799,167.0,College Ave at Harwood Ave,37.848152,-122.2521599,6424,Subscriber,1947,Male,No,2019,2,24,11,morning,Saturday,72,15,0
33515,4674,2019-02-24 10:20:04.769,2019-02-24 11:37:59.336,377.0,Fell St at Stanyan St,37.771916882623145,-122.45370447635652,377.0,Fell St at Stanyan St,37.771916882623145,-122.45370447635652,5903,Customer,1957,Male,No,2019,2,24,10,morning,Saturday,62,77,1
33547,711,2019-02-24 11:20:07.620,2019-02-24 11:31:58.876,10.0,Washington St at Kearny St,37.79539293725452,-122.4047702550888,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086,5838,Subscriber,1956,Male,No,2019,2,24,11,morning,Saturday,63,11,0
33574,1510,2019-02-24 11:01:13.671,2019-02-24 11:26:24.661,56.0,Koshland Park,37.77341396997343,-122.427316904068,377.0,Fell St at Stanyan St,37.771916882623145,-122.45370447635652,4452,Customer,1952,Other,No,2019,2,24,11,morning,Saturday,67,25,0
33575,1505,2019-02-24 11:01:09.872,2019-02-24 11:26:15.854,56.0,Koshland Park,37.77341396997343,-122.427316904068,377.0,Fell St at Stanyan St,37.771916882623145,-122.45370447635652,2706,Customer,1952,Other,No,2019,2,24,11,morning,Saturday,67,25,0
33576,1482,2019-02-24 11:01:14.130,2019-02-24 11:25:57.004,56.0,Koshland Park,37.77341396997343,-122.427316904068,377.0,Fell St at Stanyan St,37.771916882623145,-122.45370447635652,1936,Customer,1952,Other,No,2019,2,24,11,morning,Saturday,67,24,0
33600,860,2019-02-24 11:08:13.346,2019-02-24 11:22:33.967,118.0,Eureka Valley Recreation Center,37.7591769,-122.4369431,114.0,Rhode Island St at 17th St,37.7644783,-122.4025701,5568,Subscriber,1957,Male,No,2019,2,24,11,morning,Saturday,62,14,0
33650,280,2019-02-24 11:06:50.247,2019-02-24 11:11:30.313,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,81.0,Berry St at 4th St,37.77588,-122.39317,2165,Subscriber,1950,Female,No,2019,2,24,11,morning,Saturday,69,4,0
33694,195,2019-02-24 10:58:20.997,2019-02-24 11:01:36.406,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,73.0,Pierce St at Haight St,37.7717933,-122.4337079,6570,Subscriber,1959,Male,No,2019,2,24,10,morning,Saturday,60,3,0
